company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years
Reckson Associates Realty,1995,0,1995-01-01,1995-05-25,IPO,Jay_Ritter,,,,1995-01-01,1995-05-25,1,0.3942505133470226
VidaMed,1995,1,1995-01-01,1995-06-21,IPO,Jay_Ritter,,,,1995-01-01,1995-06-21,1,0.4681724845995893
Triathlon Broadcasting,1995,0,1995-01-01,1995-09-07,IPO,Jay_Ritter,,,,1995-01-01,1995-09-07,1,0.6817248459958932
Risk Capital Holdings,1995,0,1995-01-01,1995-09-13,IPO,Jay_Ritter,,,,1995-01-01,1995-09-13,1,0.6981519507186859
Premenos Technology,1995,0,1995-01-01,1995-09-20,IPO,Jay_Ritter,,,,1995-01-01,1995-09-20,1,0.7173169062286106
Renaissance Hotel Group,1995,0,1995-01-01,1995-09-26,IPO,Jay_Ritter,,,,1995-01-01,1995-09-26,1,0.7337440109514032
Sonus Pharmaceuticals,1995,1,1995-01-01,1995-10-12,IPO,Jay_Ritter,,,,1995-01-01,1995-10-12,1,0.7775496235455168
Wireless One,1995,1,1995-01-01,1995-10-18,IPO,Jay_Ritter,,,,1995-01-01,1995-10-18,1,0.7939767282683093
Embryo Development Corp,1995,0,1995-01-01,1995-11-17,IPO,Jay_Ritter,,,,1995-01-01,1995-11-17,1,0.8761122518822724
Help At Home,1995,0,1995-01-01,1995-12-05,IPO,Jay_Ritter,,,,1995-01-01,1995-12-05,1,0.9253935660506503
Kinetiks.com,1995,0,1995-01-01,1995-12-06,IPO,Jay_Ritter,,,,1995-01-01,1995-12-06,1,0.9281314168377823
Extended Stay America,1995,0,1995-01-01,1995-12-13,IPO,Jay_Ritter,,,,1995-01-01,1995-12-13,1,0.947296372347707
Global Pharmaceutical,1995,1,1995-01-01,1995-12-19,IPO,Jay_Ritter,,,,1995-01-01,1995-12-19,1,0.9637234770704997
PhyMatrix Corp,1995,0,1996-01-01,1996-01-23,IPO,Jay_Ritter,,,,1996-01-01,1996-01-23,1,0.06023271731690623
3-D Geophysical,1995,0,1996-01-01,1996-02-06,IPO,Jay_Ritter,,,,1996-01-01,1996-02-06,1,0.09856262833675565
American Bancshares,1995,0,1996-01-01,1996-02-06,IPO,Jay_Ritter,,,,1996-01-01,1996-02-06,1,0.09856262833675565
Renal Care Group,1995,0,1996-01-01,1996-02-06,IPO,Jay_Ritter,,,,1996-01-01,1996-02-06,1,0.09856262833675565
ContiFinancial,1995,0,1996-01-01,1996-02-08,IPO,Jay_Ritter,,,,1996-01-01,1996-02-08,1,0.10403832991101986
Suburban Propane Partners LP,1995,0,1996-01-01,1996-02-29,IPO,Jay_Ritter,,,,1996-01-01,1996-02-29,1,0.16153319644079397
PowerCerv,1995,1,1996-01-01,1996-03-01,IPO,Jay_Ritter,,,,1996-01-01,1996-03-01,1,0.16427104722792607
Penske Motorsports,1995,0,1996-01-01,1996-03-26,IPO,Jay_Ritter,,,,1996-01-01,1996-03-26,1,0.2327173169062286
Lycos,1995,1,1996-01-01,1996-04-01,IPO,Jay_Ritter,,,,1996-01-01,1996-04-01,1,0.24914442162902123
Embassy Acquisition,1995,0,1996-01-01,1996-04-02,IPO,Jay_Ritter,,,,1996-01-01,1996-04-02,1,0.2518822724161533
Housecall Medical Resources,1995,1,1996-01-01,1996-04-03,IPO,Jay_Ritter,,,,1996-01-01,1996-04-03,1,0.2546201232032854
CardioThoracic Systems,1995,1,1996-01-01,1996-04-18,IPO,Jay_Ritter,,,,1996-01-01,1996-04-18,1,0.29568788501026694
Jakks Pacific,1995,0,1996-01-01,1996-05-02,IPO,Jay_Ritter,,,,1996-01-01,1996-05-02,1,0.33401779603011633
SunStar Healthcare,1995,0,1996-01-01,1996-05-15,IPO,Jay_Ritter,,,,1996-01-01,1996-05-15,1,0.36960985626283366
Asia Satellite,1996,0,1996-01-01,1996-06-13,IPO,Jay_Ritter,,,,1996-01-01,1996-06-13,1,0.4490075290896646
Bigmar,1995,0,1996-01-01,1996-06-19,IPO,Jay_Ritter,,,,1996-01-01,1996-06-19,1,0.4654346338124572
Heritage Propane Prtnrs LP,1996,1,1996-01-01,1996-06-25,IPO,Jay_Ritter,,,,1996-01-01,1996-06-25,1,0.48186173853524983
Central Financial Acceptance,1996,0,1996-01-01,1996-06-26,IPO,Jay_Ritter,,,,1996-01-01,1996-06-26,1,0.48459958932238195
Trex Medical,1995,0,1996-01-01,1996-06-27,IPO,Jay_Ritter,,,,1996-01-01,1996-06-27,1,0.487337440109514
American Materials & Techs,1995,0,1996-01-01,1996-07-01,IPO,Jay_Ritter,,,,1996-01-01,1996-07-01,1,0.49828884325804246
C/NET,1995,0,1996-01-01,1996-07-01,IPO,Jay_Ritter,,,,1996-01-01,1996-07-01,1,0.49828884325804246
United Payors & United,1995,0,1996-01-01,1996-07-02,IPO,Jay_Ritter,,,,1996-01-01,1996-07-02,1,0.5010266940451745
Nuwave Technologies,1995,0,1996-01-01,1996-07-03,IPO,Jay_Ritter,,,,1996-01-01,1996-07-03,1,0.5037645448323066
NetLive Communications,1995,0,1995-01-01,1996-08-12,IPO,Jay_Ritter,,,,1995-01-01,1996-08-12,1,1.6125941136208077
TransAct Technologies,1996,0,1996-01-01,1996-08-22,IPO,Jay_Ritter,,,,1996-01-01,1996-08-22,1,0.6406570841889117
Hollywood Productions,1995,0,1996-01-01,1996-09-10,IPO,Jay_Ritter,,,,1996-01-01,1996-09-10,1,0.6926762491444216
Thermo BioAnalysis,1995,0,1996-01-01,1996-09-18,IPO,Jay_Ritter,,,,1996-01-01,1996-09-18,1,0.7145790554414785
Carson,1996,0,1996-01-01,1996-10-14,IPO,Jay_Ritter,,,,1996-01-01,1996-10-14,1,0.785763175906913
Metro Networks,1996,0,1996-01-01,1996-10-16,IPO,Jay_Ritter,,,,1996-01-01,1996-10-16,1,0.7912388774811773
Homegate Hospitality,1996,0,1996-01-01,1996-10-23,IPO,Jay_Ritter,,,,1996-01-01,1996-10-23,1,0.810403832991102
Uroquest Medical,1996,1,1996-01-01,1996-10-24,IPO,Jay_Ritter,,,,1996-01-01,1996-10-24,1,0.813141683778234
US Franchise Systems,1995,0,1996-01-01,1996-10-24,IPO,Jay_Ritter,,,,1996-01-01,1996-10-24,1,0.813141683778234
Javelin Systems,1995,0,1996-01-01,1996-10-25,IPO,Jay_Ritter,,,,1996-01-01,1996-10-25,1,0.8158795345653662
Triangle Pharmaceuticals,1995,1,1996-01-01,1996-10-31,IPO,Jay_Ritter,,,,1996-01-01,1996-10-31,1,0.8323066392881588
Candlewood Hotel Company,1996,0,1996-01-01,1996-11-05,IPO,Jay_Ritter,,,,1996-01-01,1996-11-05,1,0.8459958932238193
Bristol Technology Systems,1996,0,1996-01-01,1996-11-12,IPO,Jay_Ritter,,,,1996-01-01,1996-11-12,1,0.865160848733744
Brilliant Digital Ent,1996,0,1996-01-01,1996-11-22,IPO,Jay_Ritter,,,,1996-01-01,1996-11-22,1,0.892539356605065
Genesis Energy LP,1996,0,1996-01-01,1996-11-26,IPO,Jay_Ritter,,,,1996-01-01,1996-11-26,1,0.9034907597535934
Think New Ideas,1996,0,1996-01-01,1996-11-26,IPO,Jay_Ritter,,,,1996-01-01,1996-11-26,1,0.9034907597535934
"Leading Edge Packaging, Inc.",1995,0,1996-01-01,1996-12-02,IPO,Jay_Ritter,,,,1996-01-01,1996-12-02,1,0.919917864476386
Translation Group,1995,0,1996-01-01,1996-12-02,IPO,Jay_Ritter,,,,1996-01-01,1996-12-02,1,0.919917864476386
WebSecure,1995,0,1996-01-01,1996-12-04,IPO,Jay_Ritter,,,,1996-01-01,1996-12-04,1,0.9253935660506503
World Heart,1996,0,1996-01-01,1996-12-12,IPO,Jay_Ritter,,,,1996-01-01,1996-12-12,1,0.947296372347707
Titan Exploration,1996,1,1996-01-01,1996-12-16,IPO,Jay_Ritter,,,,1996-01-01,1996-12-16,1,0.9582477754962354
Patient Infosystems,1995,1,1996-01-01,1996-12-19,IPO,Jay_Ritter,,,,1996-01-01,1996-12-19,1,0.9664613278576317
CD Warehouse Inc,1996,0,1997-01-01,1997-01-22,IPO,Jay_Ritter,,,,1997-01-01,1997-01-22,1,0.057494866529774126
Coulter Pharmaceuticals Inc,1995,1,1996-01-01,1997-01-28,IPO,Jay_Ritter,,,,1996-01-01,1997-01-28,1,1.0759753593429158
ErgoBilt Inc,1995,0,1996-01-01,1997-02-03,IPO,Jay_Ritter,,,,1996-01-01,1997-02-03,1,1.0924024640657084
Knightsbridge Tankers Ltd,1996,0,1997-01-01,1997-02-06,IPO,Jay_Ritter,,,,1997-01-01,1997-02-06,1,0.09856262833675565
Specialty Care Network Inc,1996,0,1997-01-01,1997-02-06,IPO,Jay_Ritter,,,,1997-01-01,1997-02-06,1,0.09856262833675565
Profile Technology Inc,1995,0,1996-01-01,1997-02-12,IPO,Jay_Ritter,,,,1996-01-01,1997-02-12,1,1.1170431211498972
Metropolitan Health Networks,1996,0,1997-01-01,1997-02-20,IPO,Jay_Ritter,,,,1997-01-01,1997-02-20,1,0.13689253935660506
First Aviation Services Inc,1995,0,1996-01-01,1997-02-27,IPO,Jay_Ritter,,,,1996-01-01,1997-02-27,1,1.158110882956879
Mercury Waste Solutions Inc,1995,0,1996-01-01,1997-02-28,IPO,Jay_Ritter,,,,1996-01-01,1997-02-28,1,1.160848733744011
PalEx Inc,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039
Physicians Specialty Corp,1996,0,1997-01-01,1997-03-20,IPO,Jay_Ritter,,,,1997-01-01,1997-03-20,1,0.2135523613963039
IAT Multimedia Inc,1996,0,1997-01-01,1997-03-26,IPO,Jay_Ritter,,,,1997-01-01,1997-03-26,1,0.2299794661190965
e-NET Inc,1995,0,1996-01-01,1997-04-07,IPO,Jay_Ritter,,,,1996-01-01,1997-04-07,1,1.264887063655031
Nexar Technologies Inc,1995,0,1995-01-01,1997-04-08,IPO,Jay_Ritter,,,,1995-01-01,1997-04-08,1,2.2669404517453797
BEA Systems Inc,1995,1,1996-01-01,1997-04-10,IPO,Jay_Ritter,,,,1996-01-01,1997-04-10,1,1.273100616016427
Go2Net Inc,1996,0,1997-01-01,1997-04-23,IPO,Jay_Ritter,,,,1997-01-01,1997-04-23,1,0.3066392881587953
Lexington Healthcare Group,1995,0,1996-01-01,1997-05-19,IPO,Jay_Ritter,,,,1996-01-01,1997-05-19,1,1.379876796714579
MER Telemanagement Solutions,1995,0,1996-01-01,1997-05-21,IPO,Jay_Ritter,,,,1996-01-01,1997-05-21,1,1.3853524982888432
Apple Orthodontix Inc,1996,0,1997-01-01,1997-05-22,IPO,Jay_Ritter,,,,1997-01-01,1997-05-22,1,0.3860369609856263
NetSpeak Corp,1995,0,1996-01-01,1997-05-29,IPO,Jay_Ritter,,,,1996-01-01,1997-05-29,1,1.4072553045859
Conserver Corp of America,1996,0,1997-01-01,1997-06-06,IPO,Jay_Ritter,,,,1997-01-01,1997-06-06,1,0.4271047227926078
Simulations Plus Inc,1996,0,1997-01-01,1997-06-18,IPO,Jay_Ritter,,,,1997-01-01,1997-06-18,1,0.459958932238193
