company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
Reckson Associates Realty,1995,0,1995-01-01,1995-05-25,IPO,Jay_Ritter,,,,1995-01-01,1995-05-25,1,0.3942505133470226,Other,Unknown,Unknown,0,29,1990,0,0.33235700447610633
VidaMed,1995,1,1995-01-01,1995-06-21,IPO,Jay_Ritter,,,,1995-01-01,1995-06-21,1,0.4681724845995893,Other,Unknown,Unknown,0,29,1990,0,0.38401841961141786
Triathlon Broadcasting,1995,0,1995-01-01,1995-09-07,IPO,Jay_Ritter,,,,1995-01-01,1995-09-07,1,0.6817248459958932,Other,Unknown,Unknown,0,29,1990,0,0.5198199607704796
Risk Capital Holdings,1995,0,1995-01-01,1995-09-13,IPO,Jay_Ritter,,,,1995-01-01,1995-09-13,1,0.6981519507186859,Other,Unknown,Unknown,0,29,1990,0,0.5295405719411015
Premenos Technology,1995,0,1995-01-01,1995-09-20,IPO,Jay_Ritter,,,,1995-01-01,1995-09-20,1,0.7173169062286106,Other,Unknown,Unknown,0,29,1990,0,0.5407631346157228
Renaissance Hotel Group,1995,0,1995-01-01,1995-09-26,IPO,Jay_Ritter,,,,1995-01-01,1995-09-26,1,0.7337440109514032,Other,Unknown,Unknown,0,29,1990,0,0.5502832382509758
Sonus Pharmaceuticals,1995,1,1995-01-01,1995-10-12,IPO,Jay_Ritter,,,,1995-01-01,1995-10-12,1,0.7775496235455168,Other,Unknown,Unknown,0,29,1990,0,0.575235799912049
Wireless One,1995,1,1995-01-01,1995-10-18,IPO,Jay_Ritter,,,,1995-01-01,1995-10-18,1,0.7939767282683093,Other,Unknown,Unknown,0,29,1990,0,0.5844347915727068
Embryo Development Corp,1995,0,1995-01-01,1995-11-17,IPO,Jay_Ritter,,,,1995-01-01,1995-11-17,1,0.8761122518822724,Other,Unknown,Unknown,0,29,1990,0,0.6292016845520862
Help At Home,1995,0,1995-01-01,1995-12-05,IPO,Jay_Ritter,,,,1995-01-01,1995-12-05,1,0.9253935660506504,Other,Unknown,Unknown,0,29,1990,0,0.6551303967391574
