Variable,Test Statistic,p-value
geography_UK,0.00828048836339981,0.9274948248295584
geography_US,0.03527667655742176,0.8510170805511529
geography_Unknown,0.0693777330633057,0.7922449633351384
post_2008,46.96520345437775,7.225827671761648e-12
sector_Consumer,0.0961542895980659,0.7564943784807143
sector_FinTech,2.8432963537509983,0.09175580439703733
sector_Healthcare,0.09610300504587012,0.7565572705887145
sector_Other,1.3068149768735533,0.25297213179338646
sector_SaaS,0.801688554191253,0.3705889986351709
team_size_category_Medium (6-20),1.5553347849359824,0.21234960693722316
team_size_category_Small (1-5),0.9154989235661406,0.3386595900246102
team_size_category_Unknown,1.1904553768965658,0.2752377206211943
team_size_category_Very Large (50+),0.6882821430077289,0.4067493028530026
vc_backed_binary,856.2690642351446,3.152567558093787e-188
